,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,College,Fresh,Soph,Junior,Senior,Non-Degree,Total Undergrad.,Non-Degree,Prof. Cert.,Master's,Specialist,Doctoral,Total Grad.,Total Univ.,,,
College of Health & Public Affairs,51.1601,001298,NURSING PENDING ,222,178,90,100,,590,15,,,,,15, 605 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.1601,GC1203,NURSING & HEALTH PROF EDU ,,,,,,0,,7,,,,7, 7 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.1601,GC1209,NURSING-FAMILY PRACTITIONER ,,,,,,0,,10,,,,10, 10 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.1601,GC1210,NURSING-ADULT NURSE PRACT ,,,,,,0,,7,,,,7, 7 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.1601,GC1217,PEDIATRIC NURSE PRACTITIONER ,,,,,,0,,1,,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.1608,001219,NURSING ,,,,,,0,,,,,11,11, 11 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.2308,001212,PHYSICAL THERAPY ,,,,,,0,,,49,,,49, 49 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.9999,001293,MEDICAL LABORATORY SCI PENDING,11,4,4,3,,22,,,,,,0, 22 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.9999,001294,HEALTH INFORMATION MGMT PEND ,4,4,1,3,,12,,,,,,0, 12 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.9999,001295,RADIOLOGIC SCIENCES PENDING ,35,29,20,4,,88,,,,,,0, 88 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.9999,001296,UND MAJOR (HEALTH & PUB AFF) ,12,3,8,,,23,,,,,,0, 23 ,,,,,,,,,,,,,,,,,,,
College of Health & Public Affairs,51.9999,001297,PHYSICAL THERAPY PENDING ,,,,1,,1,,,,,,0, 1 ,,,,,,,,,,,,,,,,,,,
Rosen School of Hospitality Management,52.0901,003000,HOSPITALITY MANAGEMENT ,157,181,296,277,,911,,,,,,0, 911 ,,,,,,,,,,,,,,,,,,,
Rosen School of Hospitality Management,52.0901,003001,HOSPITALITY-GENERALIST ,,,,15,,15,,,1,,,1, 16 ,,,,,,,,,,,,,,,,,,,
Rosen School of Hospitality Management,52.0901,003003,HOSPITALITY-FOODSERVICE MGMT ,,,,1,,1,,,,,,0, 1 ,,,,,,,,,,,,,,,,,,,
Rosen School of Hospitality Management,52.0901,003004,HOSPITALITY-CONF & CONVEN MGMT,,,,2,,2,,,,,,0, 2 ,,,,,,,,,,,,,,,,,,,
Rosen School of Hospitality Management,52.0901,003006,HOSPITALITY-HOSP MGMT/AS TO BS,,,5,12,,17,,,,,,0, 17 ,,,,,,,,,,,,,,,,,,,
Rosen School of Hospitality Management,52.0901,003008,HOSPITALITY AND TOURISM MGMT,,,,,,0,,,38,,,38, 38 ,,,,,,,,,,,,,,,,,,,
Rosen School of Hospitality Management,52.0905,003009,RESTAURANT & FOODSERVICE MGMT ,,,3,1,,4,,,,,,0, 4 ,,,,,,,,,,,,,,,,,,,
Graduate Studies - Interdisciplinary,26.0210,000410,BIOMOLECULAR SCIENCES ,,,,,,0,,,,,29,29, 29 ,,,,,,,,,,,,,,,,,,,
Graduate Studies - Interdisciplinary,30.0601,000951,MODELING AND SIMULATION ,,,,,,0,,,26,,24,50, 50 ,,,,,,,,,,,,,,,,,,,
School of Optics - CREOL,14.1305,000959,OPTICS,,,,,,0,,,14,,101,115, 115 ,,,,,,,,,,,,,,,,,,,
Undeclared College,24.0101,004996,SUS TRANSIENT ,3,,2,,28,33,,,,,,0, 33 ,,,,,,,,,,,,,,,,,,,
Undeclared College,24.0101,004997,TRANSIENT ,2,,8,2,27,39,,,,,,0, 39 ,,,,,,,,,,,,,,,,,,,
Undeclared College,24.0101,004999,UNDECLARED MAJOR ,"1,220",291,102,57,210,"1,880",702,,,,,702," 2,582 ",,,,,,,,,,,,,,,,,,,
