,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,College,Fresh,Soph,Junior,Senior,Non-Degree,Total Undergrad.,Non-Degree,Prof. Cert.,Master's,Specialist,Doctoral,Total Grad.,Total Univ.,,,
College of Arts & Sciences,42.0101,002009,PSYCHOLOGY-INDUSTR & ORGANIZ ,,,,,,0,,,,,27,27, 27 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,42.0101,002011,PSYCHOLOGY - HUMAN FACTORS ,,,,,,0,,,,,55,55, 55 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,42.0101,002031,PSYCHOLOGY - CLINICAL ,,,,,,0,,,,,33,33, 33 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,42.0201,002030,CLINICAL PSYCHOLOGY ,,,,,,0,,,24,,,24, 24 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,42.0901,002008,INDUSTR & ORGANIZ PSYCHOLOGY ,,,,,,0,1,,25,,,26, 26 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,43.0104,002105,CRIMINAL JUSTICE ,1,,,,,1,,,,,,0, 1 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,43.0106,001925,FORENSIC SCIENCE ,130,60,74,93,,357,,,,,,0, 357 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.0101,004909,SOCIAL SCI-INTERDISCIPLINARY ,2,2,7,10,,21,,,,,,0, 21 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.0201,002202,ANTHROPOLOGY ,9,20,37,64,,130,,,,,,0, 130 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.0601,002204,ECONOMICS ,4,4,11,13,,32,1,,,,,1, 33 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1001,002180,POL SCI-PRE LAW ,45,58,68,80,,251,,,,,,0, 251 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1001,002207,POLITICAL SCIENCE ,116,67,83,27,,293,1,,30,,,31, 324 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1001,002209,POL SCI-AMER POLITICS & POLICY,8,9,38,55,,110,,,,,,0, 110 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1001,002210,POL SCI-INTL REL COMP POLITICS,12,18,40,68,,138,,,,,,0, 138 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1001,002223,POL SCI-MA ENVIRONMENTAL POL ,,,,,,0,,,4,,,4, 4 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1001,002224,POL SCI BA- INTERNATIONAL STU ,5,6,1,1,,13,,,,,,0, 13 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1001,002225,POL SCI-MA INTERNATIONAL STUD ,,,,,,0,,,3,,,3, 3 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1001,002226,POL SCI-MA POLITICAL ANAL/POL ,,,,,,0,,,2,,,2, 2 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1101,002208,SOCIOLOGY ,6,15,33,36,,90,1,,,,,1, 91 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1101,002289,APPLIED SOCIOLOGY ,,,,,,0,,,37,,,37, 37 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1101,002291,SOCIOLOGY-DOMESTIC VIOLENCE ,,,,,,0,,,14,,,14, 14 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1101,GC0303,GENDER STUDIES ,,,,,,0,,2,,,,2, 2 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1101,GC2203,MAYA STUDIES ,,,,,,0,,4,,,,4, 4 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1101,GC2291,DOMESTIC VIOLENCE ,,,,,,0,,1,,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0501,001007,THEATRE ,42,31,32,42,,147,,,4,,,4, 151 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0501,001021,THEATRE-PERFORMANCE ,11,17,8,19,,55,,,,,,0, 55 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0501,001022,THEATRE-STAGE MGMT ,4,6,8,11,,29,,,,,,0, 29 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0501,001023,THEATRE-TECHN THEATRE DESIGN ,7,9,11,10,,37,,,,,,0, 37 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0501,001025,"THEATRE,M.F.A ",,,,,,0,,,2,,,2, 2 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0501,001026,THEATRE(M.F.A)- ACTING ,,,,,,0,,,17,,,17, 17 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0501,001027,THEATRE(M.F.A)- DESIGN ,,,,,,0,,,1,,,1, 1 ,,,,,,,,,,,,,,,,,,,
