COUNTRY,HOST UNIVERSITY,COURSE NUMBER AND TITLE AT OVERSEAS INSTITUTION,COURSE EQUIVALENCY AT US INSTITUTION,FIELD OF STUDY,US INSTITUTION,SEMESTER
Spain,Universidad Pontifica de Comillas,Basic Electronics,Electrical Engineering 338,Electrical Engineering,University of Texas at Austin,Academic Year 1998/1999
Spain,Universidad Pontifica de Comillas,Electromagnetic Fields,Electrical Engineering 325,Electrical Engineering,University of Texas at Austin,Academic Year 1998/1999
Spain,Universidad Pontifica de Comillas,Engineering Materials,Mechanical Engineering 334,Mechanical Engineering,University of Texas at Austin,Academic Year 1998/1999
Spain,Universidad Pontifica de Comillas,Fluid Processes,Mechanical Engineering 320,Mechanical Engineering,University of Texas at Austin,Academic Year 1998/1999
Spain,Universidad Pontifica de Comillas,General Electronics,Electrical Engineering 362L,Electrical Engineering,University of Texas at Austin,Academic Year 1998/1999
Spain,Universidad Pontifica de Comillas,Modelization of Fields,Electrical Engineering 321,Electrical Engineering,University of Texas at Austin,Academic Year 1998/1999
Spain,Universidad Pontifica de Comillas,Modern Physics,Physics 341,Other,University of Texas at Austin,Academic Year 1998/1999
Spain,Universidad Pontifica de Comillas,Social Christian Thought,Religious Studies 319S,Other,University of Texas at Austin,Academic Year 1998/1999
Spain,Universidad Pontifica de Comillas,Spanish for Foreigners,Spanish 329S,Other,University of Texas at Austin,Academic Year 1998/1999
Spain,Universidad Pontifica de Comillas,Spanish Literature,Spanish 326K,Other,University of Texas at Austin,Academic Year 1998/1999
Spain,Universidad Politechnica de Madrid,Administration of Corporations,Management 320F,Other,University of Texas at Austin,Spring 1999
Spain,Universidad Politechnica de Madrid,Differential Geometry,Mechanical Engineering 364K,Mechanical Engineering,University of Texas at Austin,Spring 1999
Spain,Universidad Politechnica de Madrid,Probability and Statistics,Mechanical Engineering 335,Mechanical Engineering,University of Texas at Austin,Spring 1999
Spain,Universidad Politechnica de Madrid,Spanish for Foreigners,Spanish 319S,Other,University of Texas at Austin,Spring 1999
Spain,Universidad del Pais Vasco (Bilbao),Circuit Electronics 10426,Electrical Engineering 379K,Electrical Engineering,University of Texas at Austin,Fall 1998
Spain,Universidad del Pais Vasco (Bilbao),Communication Theory Lab,Electrical Engineering 160,Electrical Engineering,University of Texas at Austin,Spring 1999
Spain,Universidad del Pais Vasco (Bilbao),Data Transmission Lab,Electrical Engineering 160,Electrical Engineering,University of Texas at Austin,Spring 1999
Spain,Universidad del Pais Vasco (Bilbao),Industrial Business,Electrical Engineering 366,Electrical Engineering,University of Texas at Austin,Spring 1999
Spain,Universidad del Pais Vasco (Bilbao),Signals and Systems 2,Electrical Engineering 379K,Electrical Engineering,University of Texas at Austin,Spring 1999
Spain,Universidad del Pais Vasco (Bilbao),Statistics and Random Process,Electrical Engineering 351K,Electrical Engineering,University of Texas at Austin,Spring 1999
