Receptor,X [m],Y [m],Positive Risk Per Million,Neg. Risk Per Million,Net Risk Per Million
101,500,-300,0.0238,0.4068,-0.3830
398,1840,130,0.0246,0.4098,-0.3852
291,-700,1600,0.1962,0.5851,-0.3889
120,700,-200,0.0255,0.4197,-0.3942
255,1000,1300,0.0622,0.4591,-0.3969
213,-900,900,0.2687,0.6684,-0.3997
247,1100,1200,0.0587,0.4625,-0.4038
15,-950,667,0.3031,0.7071,-0.4040
119,600,-200,0.0263,0.4393,-0.4130
308,-500,1700,0.2834,0.7020,-0.4186
266,800,1400,0.0677,0.4864,-0.4187
139,800,-100,0.0278,0.4511,-0.4233
254,900,1300,0.0666,0.4909,-0.4243
310,-300,1700,0.1959,0.6248,-0.4289
246,1000,1200,0.0626,0.4946,-0.4320
283,600,1500,0.0657,0.4991,-0.4334
71,615,1492,0.0662,0.5016,-0.4354
237,1100,1100,0.0573,0.4956,-0.4383
118,500,-200,0.0271,0.4674,-0.4403
298,300,1600,0.0657,0.5113,-0.4456
399,1840,180,0.0253,0.4727,-0.4474
72,612,1482,0.0675,0.5163,-0.4488
58,758,1378,0.0711,0.5222,-0.4511
27,-991,0,0.1592,0.6126,-0.4534
204,-900,800,0.2635,0.7208,-0.4573
245,900,1200,0.0671,0.5260,-0.4589
236,1000,1100,0.0607,0.5211,-0.4604
253,800,1300,0.0719,0.5325,-0.4606
138,700,-100,0.0287,0.4916,-0.4629
244,800,1200,0.0725,0.5575,-0.4850
235,900,1100,0.0646,0.5520,-0.4874
100,400,-300,0.0245,0.5130,-0.4885
282,500,1500,0.0680,0.5643,-0.4963
57,731,1282,0.0769,0.5743,-0.4974
137,600,-100,0.0297,0.5285,-0.4988
14,-894,750,0.2489,0.7540,-0.5051
259,-800,1400,0.1796,0.6870,-0.5074
297,200,1600,0.0702,0.5815,-0.5113
234,800,1100,0.0691,0.5829,-0.5138
56,704,1186,0.0789,0.5940,-0.5152
3,-287,1667,0.1470,0.6624,-0.5154
73,512,1480,0.0705,0.5884,-0.5179
400,1840,230,0.0261,0.5450,-0.5189
136,500,-100,0.0308,0.5595,-0.5287
233,700,1100,0.0745,0.6090,-0.5346
309,-400,1700,0.2634,0.7980,-0.5346
117,400,-200,0.0279,0.5629,-0.5350
273,-700,1500,0.1861,0.7243,-0.5382
55,677,1089,0.0750,0.6191,-0.5441
296,100,1600,0.0757,0.6212,-0.5455
145,700,0,0.0320,0.5792,-0.5472
13,-839,833,0.2185,0.7729,-0.5544
295,0,1600,0.0818,0.6473,-0.5655
250,-800,1300,0.1999,0.7672,-0.5673
227,1000,1000,0.0563,0.6302,-0.5739
241,-800,1200,0.2154,0.7925,-0.5771
226,900,1000,0.0590,0.6398,-0.5808
74,446,1478,0.0725,0.6534,-0.5809
214,-800,900,0.2189,0.8000,-0.5811
